Orf;Name;Desc;"48hr VAN vs 48 hr NO ABX log2FC";"48hr VAN vs 48 hr NO ABX Adj. p-value";"48hr LZD vs 48 hr NO ABX log2FC";"48hr LZD vs 48 hr NO ABX Adj. p-value";"48hr CPT vs 48 hr NO ABX log2FC";"48hr CPT vs 48 hr NO ABX Adj. p-value";"48hr DEL vs 48 hr NO ABX log2FC";"48hr DEL vs 48 hr NO ABX Adj. p-value"
SAUSA300_RS03155;-;transposase;-2.3;0.24813;-0.1;1;0.45;0.99166;0.68;0.78233
SAUSA300_RS03160;-;DUF443 domain-containing protein;-0.22;1;-0.12;1;-0.33;0.99166;-0.86;0.59265
SAUSA300_RS03165;-;aldo/keto reductase;1.06;0.574;-0.17;1;0.17;1;0;1
SAUSA300_RS03170;-;flavodoxin family protein;0.7;0.93212;-0.42;0.87871;-0.22;1;0.09;1
SAUSA300_RS03175;-;GNAT family N-acetyltransferase;1.38;0.24813;1.22;0;1.41;0;1.1;0
SAUSA300_RS03180;-;HD domain-containing protein;0.66;0.7041;0.33;0.62465;0.43;0.4215;0.26;0.84379
SAUSA300_RS03185;-;YwhD family protein;-0.53;1;-0.22;0.99937;-0.29;0.99761;-0.26;0.93411
SAUSA300_RS03190;adhP;alcohol dehydrogenase AdhP;0.21;1;0.13;0.97831;0.14;1;-0.14;1
SAUSA300_RS03195;-;hypothetical protein;0.93;0.64902;0.13;1;0.09;1;0.51;0.5614
SAUSA300_RS03210;-;endonuclease III domain-containing protein;0.78;0.64902;0.06;1;0.29;0.85164;0.15;1
SAUSA300_RS03215;-;ABC transporter substrate-binding protein;-0.15;1;-0.14;0.97452;-0.02;1;-0.29;0.75246
SAUSA300_RS03220;-;iron ABC transporter permease;-0.18;1;0.06;1;0.41;0.60868;0.11;1
SAUSA300_RS03225;-;HAD family hydrolase;0.77;0.53608;-0.15;0.98589;-0.23;0.98675;0.04;1
SAUSA300_RS03230;-;alpha/beta hydrolase;-0.22;1;0.15;0.9686;0.28;0.82665;0.25;0.87719
SAUSA300_RS03235;-;hypothetical protein;-0.4;0.99946;0.25;0.99283;0.53;0.67522;0.64;0.59265
SAUSA300_RS03240;-;hypothetical protein;1.53;0.21005;1.34;0.01262;1.43;0;1.65;0
SAUSA300_RS03245;-;alpha/beta hydrolase;0.34;1;-0.16;1;-0.2;1;-0.03;1
SAUSA300_RS03250;sarA;global transcriptional regulator SarA;-1.24;0.90275;-1.06;0.72823;2.03;0.57579;1.56;0.60801
SAUSA300_RS03255;-;DMT family transporter;-0.06;1;-0.04;1;-0.04;1;-0.04;1
SAUSA300_RS03280;mnhB2;Na+/H+ antiporter Mnh2 subunit B;-1.52;1;-0.02;1;-1.52;1;-1.51;1
SAUSA300_RS03285;mnhC2;Na+/H+ antiporter Mnh2 subunit C;-0.02;1;-0.35;0.74038;-0.06;1;-0.57;0.5417
SAUSA300_RS03290;mnhD2;Na+/H+ antiporter Mnh2 subunit D;-0.42;0.74329;-0.2;0.89186;0.18;0.90823;-0.2;0.92432
SAUSA300_RS03295;mnhE2;Na+/H+ antiporter Mnh2 subunit E;0.58;0.87915;0.21;0.93712;0.48;0.75076;0.17;1
SAUSA300_RS03300;mnhF2;Na+/H+ antiporter Mnh2 subunit F;-2.88;0.01003;-1.78;0.18797;-1.34;0.36387;-1.67;0.17306
SAUSA300_RS03305;mnhG2;Na+/H+ antiporter Mnh2 subunit G;1.08;0.55995;0.17;0.99283;0.05;1;-0.07;1
SAUSA300_RS03310;-;sodium:proton antiporter;-0.18;0.99226;-0.14;0.89186;-0.12;0.98853;-0.35;0.3936
SAUSA300_RS03315;-;metal ABC transporter substrate-binding protein;1;0.8278;1.64;0.02526;1.77;0.01053;1.75;0.01358
SAUSA300_RS03320;-;metal ABC transporter permease;1.51;0.20107;1.73;0;2.08;0;1.77;0
SAUSA300_RS03325;-;metal ABC transporter ATP-binding protein;0.84;0.71698;0.95;0.23026;1.51;0;1.26;0.0484
SAUSA300_RS03330;-;metal-dependent transcriptional regulator;0.18;1;0.31;0.8569;0.4;0.75076;0.11;1
SAUSA300_RS03335;-;M50 family metallopeptidase;0.71;0.26044;0.06;1;0.03;1;0.15;0.93411
SAUSA300_RS03355;-;CDP-glycerol glycerophosphotransferase family protein;1.97;1;-0.25;1;-0.43;0.98022;1.31;0.78233
SAUSA300_RS03360;-;glycosyltransferase family 2 protein;-0.29;0.99226;-0.09;1;0.13;1;-0.16;1
SAUSA300_RS03370;pbp4;penicillin-binding protein PBP4;-1.59;0.0052;-0.28;0.78619;-0.27;0.92568;-0.08;1
SAUSA300_RS03375;-;ABC transporter ATP-binding protein/permease;0.03;1;-0.44;0.78619;-0.22;1;-0.51;0.71684
SAUSA300_RS03380;-;nucleoside permease;0.81;0.63928;-0.05;1;-0.33;0.87299;-0.43;0.71063
SAUSA300_RS03385;-;hypothetical protein;0.63;1;-0.01;1;-0.1;1;0.16;1
SAUSA300_RS03390;-;YitT family protein;0.57;0.8632;0.78;0.0895;0.79;0.11829;0.73;0.26876
SAUSA300_RS03395;-;ABC transporter ATP-binding protein;0.04;1;-0.34;0.53236;-0.17;0.96469;-0.05;1
SAUSA300_RS03400;-;iron ABC transporter permease;0.73;0.63928;-0.41;0.55493;-0.11;1;-0.32;0.78233
SAUSA300_RS03405;-;iron ABC transporter permease;0.93;0.33499;0.11;0.95761;0.32;0.50496;0.34;0.59265
SAUSA300_RS03410;dhaK;dihydroxyacetone kinase subunit DhaK;0.3;1;-0.16;0.97831;0.13;1;-0.1;1
SAUSA300_RS03415;dhaL;dihydroxyacetone kinase subunit DhaL;0.44;1;0.36;0.8327;0.7;0.39429;0.09;1
SAUSA300_RS03420;-;dihydroxyacetone kinase phosphoryl donor subunit DhaM;-0.72;1;-0.47;0.86942;-0.53;0.94332;-0.92;0.71063
SAUSA300_RS03425;-;hypothetical protein;-0.35;1;0.75;1;0.84;0.92568;1.67;0.74334
SAUSA300_RS03430;-;membrane protein;0.32;0.91856;-0.15;0.86942;-0.02;1;-0.33;0.58007
SAUSA300_RS03435;-;alpha/beta hydrolase;0.26;1;0.12;1;0.24;0.96952;0.08;1
SAUSA300_RS03445;-;hypothetical protein;-0.08;1;-0.34;0.7068;0.03;1;-0.17;1
SAUSA300_RS03450;-;GNAT family N-acetyltransferase;-0.78;0.62937;-0.4;0.6838;-0.82;0.25299;-0.21;1
SAUSA300_RS03455;graX;auxiliary protein GraX/ApsX;-4.31;0;-0.76;0.00395;-0.77;0;-0.62;0.02095
SAUSA300_RS03460;graR;response regulator transcription factor GraR/ApsR;-3.16;0;-0.42;0.52664;-0.51;0.63197;-0.24;0.95383
SAUSA300_RS03465;graS;histidine kinase GraS/ApsS;-4.26;0;-0.58;0.03443;-0.78;0;-0.43;0.30723
SAUSA300_RS03470;vraF;ABC transporter ATP-binding protein VraF;-3.82;0;-0.31;0.63204;-0.94;0.00401;-0.46;0.40534
SAUSA300_RS03475;vraG;ABC transporter permease VraG;-3.71;0;-0.77;0;-0.96;0;-0.61;0
SAUSA300_RS03480;-;DUF47 domain-containing protein;-0.61;0.9575;0.32;0.98589;1.02;0.5947;0.7;0.62165
SAUSA300_RS03485;-;inorganic phosphate transporter;0.72;0.77745;-0.24;0.96117;0.33;0.75076;-0.25;0.98454
SAUSA300_RS03490;-;LysM peptidoglycan-binding domain-containing protein;-0.02;1;0.27;0.61467;0.26;0.7907;0.06;1
SAUSA300_RS03495;-;Bax inhibitor-1 family protein;0.24;1;0.26;0.62465;0.42;0.39013;0.23;0.86536
SAUSA300_RS03500;-;AraC family transcriptional regulator;-0.15;1;-0.22;0.53236;0.05;1;-0.09;1
SAUSA300_RS03505;sarX;HTH-type transcriptional regulator SarX;0.44;1;0.03;1;0.27;1;0.12;1
SAUSA300_RS03510;-;YebC/PmpR family DNA-binding transcriptional regulator;0.72;0.99124;0.58;0.44627;-0.05;1;-0.18;1
SAUSA300_RS03515;-;cupin domain-containing protein;1.16;0.62937;0.61;0.31189;0.26;0.85164;0.49;0.63899
SAUSA300_RS03520;-;hypothetical protein;-0.42;1;-1.5;0.62465;-0.73;1;-1.06;0.84379
SAUSA300_RS03525;-;DUF402 domain-containing protein;1.86;0.48143;3.37;0;3.59;0;3.27;0
SAUSA300_RS03530;-;LysR family transcriptional regulator;1.88;0.18428;1.96;0;2.02;0;1.14;0.20585
SAUSA300_RS03540;-;sugar efflux transporter;0.8;0.44697;0.1;1;0.2;0.90823;0.2;0.88532
SAUSA300_RS03545;-;DUF456 domain-containing protein;-0.37;1;-0.45;0.74038;-0.22;0.98853;-0.04;1
SAUSA300_RS03550;-;DUF1129 family protein;0.8;0.69065;0.1;1;0.52;0.20741;0.43;0.31039
SAUSA300_RS03555;-;GNAT family N-acetyltransferase;0.02;1;-0.52;0.42;-0.14;1;-0.51;0.45129
SAUSA300_RS03560;-;hypothetical protein;-1.02;0.89432;1.1;0.35987;0.66;0.87315;-0.13;1
SAUSA300_RS03565;-;hypothetical protein;-0.22;1;-0.19;1;-0.71;0.90643;0.02;1
SAUSA300_RS03570;-;GNAT family N-acetyltransferase;1.08;0.72791;0.25;0.75694;0.25;0.94332;0.38;0.60801
SAUSA300_RS03575;-;TIGR00730 family Rossman fold protein;-1.18;0.3021;-0.96;0.15362;-0.64;0.67522;-0.03;1
SAUSA300_RS03580;-;YaiI/YqxD family protein;-0.45;1;-0.43;0.97452;-0.13;1;-0.7;0.71684
SAUSA300_RS03585;-;hypothetical protein;0.34;1;0.49;0.88768;0.19;1;0.02;1
SAUSA300_RS03590;-;undecaprenyl-diphosphate phosphatase;0.09;1;-0.07;1;0.13;0.98416;0.02;1
SAUSA300_RS03595;-;ABC transporter ATP-binding protein/permease;0.28;1;0.08;1;-0.01;1;0.22;0.85478
SAUSA300_RS03600;-;amino acid ABC transporter ATP-binding/permease protein;-0.49;0.74329;-0.28;0.77285;-0.01;1;-0.12;1
SAUSA300_RS03605;mgrA;HTH-type transcriptional regulator MgrA;-1.33;0.06942;-0.81;0.05082;-1.01;0.01321;0.11;1
SAUSA300_RS03610;-;GTP-binding protein;-0.1;1;0.26;0.94689;0.37;0.8831;-0.15;1
SAUSA300_RS03615;-;aldo/keto reductase family oxidoreductase;0.5;0.94265;0.17;1;-0.08;1;0.28;1
SAUSA300_RS03620;-;hypothetical protein;1.06;0.66142;0.56;0.64282;0.31;0.98675;0.34;0.94334
SAUSA300_RS03625;-;DASS family sodium-coupled anion symporter;0.07;1;-0.02;1;-0.04;1;-0.06;1
SAUSA300_RS03630;-;DNA photolyase family protein;-0.36;1;-0.12;1;-0.28;0.9646;-0.13;1
SAUSA300_RS03635;-;hypothetical protein;0.34;1;-0.23;0.845;0.04;1;-0.15;0.99525
SAUSA300_RS03640;-;DUF1361 domain-containing protein;0.49;0.91856;-0.17;1;-0.38;0.85164;-0.11;1
SAUSA300_RS03645;-;DNA-binding protein;0.11;1;-0.34;0.86942;-0.37;0.90823;-0.05;1
SAUSA300_RS03650;norA;multidrug efflux MFS transporter NorA;-0.34;0.85259;-0.85;0.00395;-0.69;0.02864;-0.67;0.05362
SAUSA300_RS03655;-;hypothetical protein;0.48;0.97212;0.38;0.4251;0.41;0.67522;0.24;0.87719
SAUSA300_RS03660;ybaK;Cys-tRNA(Pro) deacylase;-3.58;0.48676;0.47;0.94065;1.39;0.57461;0.28;1
SAUSA300_RS03665;-;DeoR/GlpR family DNA-binding transcription regulator;0.31;1;0;1;0.2;0.96952;-0.13;1
SAUSA300_RS03670;pfkB;1-phosphofructokinase;0.6;0.79858;-0.53;0.20793;-0.01;1;0;1
SAUSA300_RS03675;-;fructose-specific PTS transporter subunit EIIC;0.75;0.65857;-0.04;1;0.3;0.69942;0.23;0.89558
SAUSA300_RS03685;nagA;N-acetylglucosamine-6-phosphate deacetylase;0.74;0.84393;0.54;0.3945;0.61;0.39013;0.1;1
SAUSA300_RS03690;-;hemolysin family protein;-0.25;1;0.13;1;1.09;0.44846;0.13;1
SAUSA300_RS03695;-;aldo/keto reductase;0.63;1;0.29;0.89186;0.58;0.23284;0.52;0.38079
SAUSA300_RS03700;csbB;lipoteichoic acid-specific glycosylation protein CsbB;0;1;-0.08;1;-0.01;1;-0.1;1
SAUSA300_RS03705;saeS;two-component system sensor histidine kinase SaeS;-0.21;1;-0.23;0.66252;-0.22;0.90823;-0.1;1
SAUSA300_RS03710;saeR;response regulator transcription factor SaeR;0.29;1;0.26;0.75694;0.46;0.49446;0.02;1
SAUSA300_RS03715;-;DoxX family protein;0;1;-0.04;1;0.44;0.37959;0.22;0.92432
SAUSA300_RS03720;-;DM13 domain-containing protein;-0.23;1;-0.73;0.62465;-0.62;0.7907;-0.76;0.67537
SAUSA300_RS03725;-;hypothetical protein;-0.65;0.44369;-0.53;0.0895;-0.1;1;-0.63;0.01358
SAUSA300_RS03730;queE;7-carboxy-7-deazaguanine synthase QueE;0.69;0.93212;-0.19;0.99426;-0.05;1;-0.32;0.83319
SAUSA300_RS03735;queD;6-carboxytetrahydropterin synthase QueD;0.48;1;-0.25;1;0.16;1;0.04;1
SAUSA300_RS03740;queC;7-cyano-7-deazaguanine synthase QueC;0.23;1;0.29;0.845;0.35;0.8348;-0.07;1
SAUSA300_RS03745;-;aminodeoxychorismate/anthranilate synthase component II;-0.04;1;-0.07;1;0.15;1;-0.17;1
SAUSA300_RS03750;-;anthranilate synthase component I family protein;-0.06;1;-0.13;0.99426;0;1;-0.27;0.69663
SAUSA300_RS03755;-;aminotransferase class IV;0.68;0.89432;0.46;0.39114;0.45;0.401;0.48;0.40935
SAUSA300_RS03760;-;hypothetical protein;0.2;1;-0.53;0.87871;-0.38;0.94332;-0.1;1
SAUSA300_RS03765;-;allophanate hydrolase subunit 1;0.46;0.89432;-0.03;1;0.2;0.88965;0.16;0.92617
SAUSA300_RS03770;-;biotin-dependent carboxyltransferase family protein;0.05;1;-0.32;0.5783;-0.51;0.34024;-0.29;0.75246
SAUSA300_RS03775;ltaS;polyglycerol-phosphate lipoteichoic acid synthase LtaS;-0.43;1;0.93;0.52664;0.85;0.80514;0.58;0.71684
SAUSA300_RS03785;-;ABC-F family ATP-binding cassette domain-containing protein;0.24;1;0.11;1;0.34;0.75076;0.08;1
SAUSA300_RS03790;recQ;DNA helicase RecQ;-1.18;0;-0.64;0.00693;-0.39;0.29667;-0.45;0.14035
SAUSA300_RS03795;-;ABC transporter ATP-binding protein;-0.05;1;-0.95;0.55493;-0.56;0.90823;-1;0.63899
SAUSA300_RS03800;-;ABC transporter permease/substrate-binding protein;0.62;0.47619;0.24;0.55493;0.44;0.16609;0.46;0.03198
SAUSA300_RS03805;hisC;histidinol-phosphate transaminase;-0.05;1;-0.06;1;0.1;1;0.01;1
SAUSA300_RS03810;-;5'-3'-deoxyribonucleotidase;-0.92;0.81531;-0.89;0.59997;-0.76;0.75076;-0.81;0.62165
SAUSA300_RS03815;-;diacylglycerol kinase family lipid kinase;-0.23;1;-0.19;0.98684;-0.1;1;-0.22;1
SAUSA300_RS03820;-;hypothetical protein;-2.19;0.04058;-0.69;0.75694;-0.66;0.82665;-0.36;0.99525
SAUSA300_RS03825;-;peptide MFS transporter;-0.07;1;-0.03;1;-0.13;0.95945;0.03;1
SAUSA300_RS03830;queF;preQ(1) synthase;0.84;0.7041;0.17;0.8569;0.25;0.98416;0.2;0.88532
SAUSA300_RS03835;-;DMT family transporter;0.33;0.89432;-0.22;0.74038;0.03;1;-0.02;1
SAUSA300_RS03860;-;hypothetical protein;0.29;1;1.53;0.94689;1.39;1;2.46;0.51708
SAUSA300_RS03865;-;ABC transporter permease;-0.27;1;-0.08;1;0.19;1;0.13;1
SAUSA300_RS03870;-;iron chelate uptake ABC transporter family permease subunit;0.4;0.76439;0.4;0.11979;0.36;0.38717;0.27;0.59265
SAUSA300_RS03875;-;ABC transporter ATP-binding protein;0.63;0.91262;0.76;0.03573;0.74;0.09207;0.55;0.26219
SAUSA300_RS03880;-;siderophore ABC transporter substrate-binding protein;0.5;0.99124;0.58;0.258;0.53;0.23916;0.6;0.25374
SAUSA300_RS03885;-;CHY zinc finger protein;-1.19;0.11418;0.11;1;-0.07;1;-0.21;0.94334
SAUSA300_RS03895;-;GrpB family protein;0;1;-0.06;1;0.07;1;-0.11;1
SAUSA300_RS03900;-;EMYY motif lipoprotein;0.38;0.9575;-0.05;1;0;1;-0.18;0.92617
SAUSA300_RS03905;ytxJ;bacillithiol system redox-active protein YtxJ;0.96;1;0.82;0.54982;0.29;0.99166;0.08;1
SAUSA300_RS03910;-;glycerate kinase;0.71;0.74329;0.13;1;-0.18;1;-0.18;1
SAUSA300_RS03915;pepT;peptidase T;0.52;0.8278;0.37;0.5783;0.32;0.80514;0.25;0.80885
SAUSA300_RS03920;-;threonine/serine exporter family protein;0.94;0.64902;-0.27;0.88768;0.26;0.91805;0.44;0.3936
SAUSA300_RS03925;-;threonine/serine exporter ThrE family protein;0.67;0.8632;0.18;0.94943;0.05;1;0.17;0.98563
SAUSA300_RS03930;-;GGDEF domain-containing protein;-3.07;0;-0.9;0.2022;-1.89;0;-0.66;0.5789
SAUSA300_RS03935;-;undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase;1.18;0.63928;0.58;0.64282;1.74;0.22509;0.83;0.65789
SAUSA300_RS03940;-;YigZ family protein;1.1;0.41398;0.17;0.95761;0.45;0.59938;0.04;1
SAUSA300_RS03945;fakB1;fatty acid kinase binding subunit FakB1;0.09;1;0.05;1;0.41;0.802;0;1
SAUSA300_RS03950;-;DEAD/DEAH box helicase;0.54;0.84393;-0.02;1;-0.11;0.99975;0.3;0.60801
SAUSA300_RS03955;-;ComF family protein;-0.32;0.99554;0.11;1;0.23;0.98675;0.34;0.84379
SAUSA300_RS03960;raiA;ribosome-associated translation inhibitor RaiA;0.05;1;-1.75;0.20793;-1.76;0.22509;-1.5;0.49488
SAUSA300_RS03965;secA;preprotein translocase subunit SecA;-0.5;1;-0.51;0.95324;-0.46;1;-0.47;1
SAUSA300_RS03970;-;hypothetical protein;-0.91;0.63928;0.31;0.89186;0.05;1;0.21;1
SAUSA300_RS03980;-;hypothetical protein;1.01;0.97212;0.21;1;-0.59;0.61022;0.08;1
SAUSA300_RS03985;-;CHAP domain-containing protein;-0.01;1;0.03;1;0.22;0.94332;0.22;0.84379
SAUSA300_RS03990;-;HD domain-containing protein;0.1;1;-0.31;0.96117;-0.19;1;-0.37;0.961
SAUSA300_RS03995;-;CsbA family protein;-0.23;1;0.6;0.62465;0.31;1;0.14;1
SAUSA300_RS04000;uvrB;excinuclease ABC subunit UvrB;0.96;0.05552;-0.36;0.39114;-0.05;1;-0.49;0.21319
SAUSA300_RS04005;uvrA;excinuclease ABC subunit UvrA;0.11;1;-0.55;0.08421;0;1;-0.35;0.4939
SAUSA300_RS04015;lgt;prolipoprotein diacylglyceryl transferase;1.05;0.89432;0.58;0.81241;0.85;0.64931;1.34;0.14834
SAUSA300_RS04020;-;acetyltransferase;-0.55;0.85259;-0.52;0.5783;-0.38;0.88965;-0.16;1
SAUSA300_RS04025;-;tetratricopeptide repeat protein;-0.11;1;-0.02;1;0.42;0.63197;0.25;0.84379
SAUSA300_RS04040;rapZ;RNase adapter RapZ;1.15;0.7041;-0.4;0.95324;-0.02;1;-0.03;1
SAUSA300_RS04045;-;YvcK family protein;0.19;1;0.22;1;0.73;0.94332;-0.03;1
SAUSA300_RS04050;whiA;DNA-binding protein WhiA;0.02;1;1.78;0.62465;2.72;0.16677;2.62;0.12644
SAUSA300_RS04065;-;TIGR01777 family oxidoreductase;0.22;1;-0.58;0.52664;-0.25;0.97418;-0.33;0.78233
SAUSA300_RS04070;-;DUF4887 domain-containing protein;0.47;1;0.47;0.77285;0.17;0.9968;0.38;0.78233
SAUSA300_RS04095;gpmI;2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase;-0.66;0.99124;-0.48;0.91359;0.13;1;0.08;1
SAUSA300_RS04100;eno;phosphopyruvate hydratase;0.28;1;0.02;1;0.39;0.9646;1.07;0.59265
SAUSA300_RS04105;-;hypothetical protein;-0.4;0.93212;-0.63;0.2945;-0.61;0.38717;-0.64;0.26876
SAUSA300_RS04110;secG;preprotein translocase subunit SecG;4.12;0.10777;1.43;0.5783;1.14;0.75076;2.04;0.32875
SAUSA300_RS04115;-;carboxylesterase;0.6;1;-0.47;0.61467;-0.22;0.99761;-0.23;1
SAUSA300_RS04120;rnr;ribonuclease R;0.12;1;-0.34;0.96117;0.56;0.75076;0.44;0.75246
SAUSA300_RS04135;-;hypothetical protein;0.33;1;-0.03;1;0.11;1;-0.07;1
SAUSA300_RS04145;-;DUF5067 domain-containing protein;0.06;1;-0.2;0.95761;-0.03;1;-0.18;0.98563
SAUSA300_RS04150;-;hypothetical protein;1.12;1;0.79;0.78619;0.95;0.802;0.78;0.62165
SAUSA300_RS04155;-;hypothetical protein;0.79;0.56282;0.05;1;0.47;0.16595;-0.01;1
SAUSA300_RS04160;-;N-acetyltransferase;-0.13;1;-0.17;1;0.08;1;-0.53;0.76816
SAUSA300_RS04165;clfA;MSCRAMM family adhesin clumping factor ClfA;-0.16;1;-0.41;0.29978;-0.18;0.91805;-0.44;0.33387
SAUSA300_RS04170;vwb;von Willebrand factor binding protein Vwb;0.47;0.8278;0.03;1;0.33;0.63197;0.26;0.60801
SAUSA300_RS04175;emp;extracellular matrix protein-binding adhesin Emp;-0.21;1;-0.14;0.99937;-0.33;0.75076;-0.49;0.60801
SAUSA300_RS04180;-;hypothetical protein;0.24;1;0.01;1;0.05;1;0.25;0.91748
SAUSA300_RS04185;-;thermonuclease family protein;0.05;1;0.1;1;-0.08;1;-0.01;1
SAUSA300_RS04190;-;cold-shock protein;0.26;1;2.1;1;0.73;0.99761;-1.67;1
SAUSA300_RS04195;-;hypothetical protein;-0.01;1;0.04;1;0.17;1;0.19;1
SAUSA300_RS04200;-;hypothetical protein;0.21;1;-0.16;1;-0.15;1;-0.12;1
SAUSA300_RS04205;-;hypothetical protein;0.41;1;0.15;1;0.5;0.8348;0.12;1
SAUSA300_RS04210;-;hypothetical protein;-1.84;0.69065;-0.77;1;-0.05;1;-0.34;1
SAUSA300_RS04215;-;hypothetical protein;-1.29;0.21005;-0.19;1;-0.5;0.75076;-0.57;0.75246
SAUSA300_RS04220;-;sterile alpha motif-like domain-containing protein;-0.14;1;-1.08;0.53236;-1.05;0.56673;-1.3;0.33387
SAUSA300_RS04225;-;hypothetical protein;-0.63;0.99554;-0.06;1;0.49;1;0.43;0.92432
SAUSA300_RS04230;-;phosphoglycerate mutase family protein;0.55;0.85259;0.05;1;-0.12;1;0.03;1
SAUSA300_RS04235;-;LysE/ArgO family amino acid transporter;0.29;1;0.25;0.64282;0.4;0.5947;0.06;1
SAUSA300_RS04240;-;GNAT family N-acetyltransferase;-1.21;0.1108;-0.95;0.05471;-0.5;0.5947;-0.57;0.54145
SAUSA300_RS04245;-;organic hydroperoxide resistance protein;0.09;1;0.37;0.94689;0.63;0.7907;0.29;1
SAUSA300_RS04250;aroD;type I 3-dehydroquinate dehydratase;1.69;0.64902;0.62;0.97831;1.17;0.40231;0.67;0.74492
SAUSA300_RS04255;-;nitroreductase;-0.24;1;-0.43;0.59997;-0.7;0.22509;-0.66;0.30075
SAUSA300_RS04260;-;thioredoxin family protein;-1.92;0.22665;-1.16;0.52664;-0.78;0.74561;-1.39;0.40935
SAUSA300_RS04265;-;arsenate reductase family protein;0.13;1;0.07;1;0.12;1;-0.06;1
SAUSA300_RS04270;gcvH;glycine cleavage system protein GcvH;1.61;1;1.73;0.74038;2.25;0.32895;4.1;0.02692
SAUSA300_RS04280;-;YwqG family protein;0.75;0.84393;0.71;0.15362;0.78;0.1648;0.6;0.38277
SAUSA300_RS04290;-;toprim domain-containing protein;-0.3;1;-0.66;0.79712;-0.63;0.85164;-0.36;0.98563
SAUSA300_RS04295;-;thioredoxin family protein;-0.11;1;1.1;0.26158;0.66;0.94332;0.61;0.90306
SAUSA300_RS04300;-;methionine ABC transporter ATP-binding protein;0.8;0.67203;0.27;0.75694;0.44;0.74561;-0.11;1
SAUSA300_RS04305;-;ABC transporter permease;0.35;1;-0.33;0.81241;-0.23;0.99166;0.05;1
SAUSA300_RS04310;-;MetQ/NlpA family ABC transporter substrate-binding protein;0.28;1;-0.52;0.49996;-0.32;0.90823;-0.32;0.74492
SAUSA300_RS04315;-;site-specific integrase;-0.59;0.56422;-0.27;0.63204;-0.08;1;0.03;1
SAUSA300_RS04320;sek;staphylococcal enterotoxin type K;0.69;0.56422;-0.07;1;-0.24;0.95945;-0.47;0.59265
SAUSA300_RS04325;seq;staphylococcal enterotoxin type Q;0.42;0.85259;-0.38;0.42174;-0.37;0.54581;-0.3;0.63899
SAUSA300_RS04330;-;ImmA/IrrE family metallo-endopeptidase;-0.35;1;0.06;1;-0.08;1;0;1
SAUSA300_RS04340;-;helix-turn-helix domain-containing protein;-1.6;0.45472;0.54;0.89186;0.43;0.88965;0.41;0.86536
SAUSA300_RS04345;-;helix-turn-helix domain-containing protein;-0.86;0.99226;-1.31;0.52664;-1.85;0.38717;-2.21;0.31039
SAUSA300_RS04350;-;hypothetical protein;1.31;0.49397;-0.26;1;-0.1;1;-0.11;1
SAUSA300_RS04355;-;hypothetical protein;-1.54;0.0138;-0.54;0.53236;0.2;1;-0.07;1
SAUSA300_RS04360;-;DUF1474 family protein;2.34;0.64902;0.29;0.99937;0.33;1;0.07;1
SAUSA300_RS04365;-;phage/plasmid primase%2C P4 family;0.21;0.94265;-0.05;1;-0.03;1;-0.17;0.74492
SAUSA300_RS04370;-;hypothetical protein;-0.61;0.72791;0.24;0.86447;0.5;0.74561;0.07;1
SAUSA300_RS04375;-;hypothetical protein;0.5;0.99554;-0.22;0.94065;-0.01;1;0.01;1
SAUSA300_RS04380;-;phage capsid protein;-0.08;1;-0.12;0.94065;-0.1;1;0.13;0.92432
SAUSA300_RS04385;-;hypothetical protein;-0.64;0.89432;-0.18;1;-0.26;1;-0.04;1
SAUSA300_RS04390;-;Abi family protein;-0.36;0.84393;-0.24;0.77889;-0.05;1;-0.21;0.83319
SAUSA300_RS04395;-;DUF4888 domain-containing protein;0.18;1;-0.28;0.87871;0.21;1;-0.22;1
SAUSA300_RS04400;-;CsbD family protein;-0.41;1;-0.07;1;1;0.80514;1.19;0.47347
SAUSA300_RS04405;-;DUF368 domain-containing protein;0.16;1;-0.23;0.77889;-0.03;1;0;1
SAUSA300_RS04430;sufB;Fe-S cluster assembly protein SufB;-1.11;1;-0.95;0.99283;-0.98;1;-0.54;1
SAUSA300_RS04435;-;chorismate mutase;1.65;0.23253;0.79;0.53236;0.82;0.45142;1.37;0.21319
SAUSA300_RS04440;-;hypothetical protein;-0.73;0.56282;0;1;0.39;0.87299;0.59;0.51588
SAUSA300_RS04445;-;HlyC/CorC family transporter;0.49;0.99124;-0.13;1;-0.18;0.99975;-0.41;0.74334
SAUSA300_RS04450;-;nitronate monooxygenase family protein;0.12;1;-0.33;0.78619;-0.39;0.75076;-0.42;0.65789
SAUSA300_RS04455;-;hypothetical protein;-1.05;0.74329;-0.67;0.845;-0.94;0.67522;0.45;1
SAUSA300_RS04460;-;DUF72 domain-containing protein;-0.12;1;0.23;0.8327;0.36;0.63197;0.1;1
SAUSA300_RS04465;-;sulfite exporter TauE/SafE family protein;0.93;0.74329;1.39;0;1.12;0.10285;1.1;0.20585
SAUSA300_RS04470;-;bifunctional metallophosphatase/5'-nucleotidase;0.33;0.99226;0.1;1;0.52;0.18407;0.28;0.60801
SAUSA300_RS04475;lipA;lipoyl synthase;1;0.3021;0.1;1;0.54;0.61022;0.28;0.95383
SAUSA300_RS04480;-;YutD family protein;-0.09;1;0.16;1;0.5;0.89681;0.18;1
